Run,Assay Type,AssemblyName,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Developmental_stage,Experiment,generation,GEO_Accession (exp),Instrument,intentional_duplicate (run),LibraryLayout,LibrarySelection,LibrarySource,Organism,pcb_dosage,Platform,population,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study
SRR12475439,RNA-Seq,Fundulus_heteroclitus-3.0.2,194,2885634862,PRJNA658029,SAMN15856616,1209027948,GEO,public,"run.zq,sra,bam","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1","embryo\, stage 35\, 10 days post fertilization",SRX8969409,F2,GSM4731949,Illumina HiSeq 1000,,PAIRED,cDNA,TRANSCRIPTOMIC,Fundulus heteroclitus,0,ILLUMINA,Bridgeport,2020-08-20T00:00:00Z,2020-08-19T11:06:00Z,1,GSM4731949,"stage 35\, whole embryo",SRP278069
SRR12475440,RNA-Seq,Fundulus_heteroclitus-3.0.2,194,2769330129,PRJNA658029,SAMN15856614,1150168466,GEO,public,"bam,sra,run.zq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1","embryo\, stage 35\, 10 days post fertilization",SRX8969410,F2,GSM4731950,Illumina HiSeq 1000,,PAIRED,cDNA,TRANSCRIPTOMIC,Fundulus heteroclitus,0,ILLUMINA,Bridgeport,2020-08-20T00:00:00Z,2020-08-19T11:00:00Z,1,GSM4731950,"stage 35\, whole embryo",SRP278069
SRR12475441,RNA-Seq,Fundulus_heteroclitus-3.0.2,194,2052590910,PRJNA658029,SAMN15856613,932347382,GEO,public,"bam,run.zq,sra","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1","embryo\, stage 35\, 10 days post fertilization",SRX8969411,F2,GSM4731951,Illumina HiSeq 1000,,PAIRED,cDNA,TRANSCRIPTOMIC,Fundulus heteroclitus,200,ILLUMINA,Bridgeport,2020-08-20T00:00:00Z,2020-08-19T11:04:00Z,1,GSM4731951,"stage 35\, whole embryo",SRP278069
SRR12475442,RNA-Seq,Fundulus_heteroclitus-3.0.2,196,2960958532,PRJNA658029,SAMN15856611,1185709017,GEO,public,"run.zq,sra,bam","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1","embryo\, stage 35\, 10 days post fertilization",SRX8969412,F2,GSM4731952,Illumina HiSeq 1000,,PAIRED,cDNA,TRANSCRIPTOMIC,Fundulus heteroclitus,200,ILLUMINA,Bridgeport,2020-08-20T00:00:00Z,2020-08-19T11:09:00Z,1,GSM4731952,"stage 35\, whole embryo",SRP278069
SRR12475443,RNA-Seq,Fundulus_heteroclitus-3.0.2,194,3321803963,PRJNA658029,SAMN15856609,1333196939,GEO,public,"bam,run.zq,sra","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1","embryo\, stage 35\, 10 days post fertilization",SRX8969413,F2,GSM4731953,Illumina HiSeq 1000,,PAIRED,cDNA,TRANSCRIPTOMIC,Fundulus heteroclitus,200,ILLUMINA,Bridgeport,2020-08-20T00:00:00Z,2020-08-19T11:15:00Z,1,GSM4731953,"stage 35\, whole embryo",SRP278069
SRR12475444,RNA-Seq,Fundulus_heteroclitus-3.0.2,194,3542206242,PRJNA658029,SAMN15856607,1415967849,GEO,public,"bam,run.zq,sra","gs,s3,ncbi","s3.us-east-1,gs.us-east1,ncbi.public","embryo\, stage 35\, 10 days post fertilization",SRX8969414,F2,GSM4731954,Illumina HiSeq 1000,,PAIRED,cDNA,TRANSCRIPTOMIC,Fundulus heteroclitus,200,ILLUMINA,Bridgeport,2020-08-20T00:00:00Z,2020-08-19T11:11:00Z,1,GSM4731954,"stage 35\, whole embryo",SRP278069
SRR12475445,RNA-Seq,Fundulus_heteroclitus-3.0.2,194,3583253475,PRJNA658029,SAMN15856606,1403496795,GEO,public,"run.zq,bam,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1","embryo\, stage 35\, 10 days post fertilization",SRX8969415,F2,GSM4731955,Illumina HiSeq 1000,,PAIRED,cDNA,TRANSCRIPTOMIC,Fundulus heteroclitus,200,ILLUMINA,Bridgeport,2020-08-20T00:00:00Z,2020-08-19T11:15:00Z,1,GSM4731955,"stage 35\, whole embryo",SRP278069
SRR12475446,RNA-Seq,Fundulus_heteroclitus-3.0.2,184,3240422,PRJNA658029,SAMN15856660,215647664,GEO,public,"run.zq,sra,bam","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1","embryo\, stage 35\, 10 days post fertilization",SRX8969416,F1,GSM4731956,Illumina HiSeq 1000,,PAIRED,cDNA,TRANSCRIPTOMIC,Fundulus heteroclitus,0,ILLUMINA,Elizabeth River,2020-08-20T00:00:00Z,2020-08-19T11:05:00Z,1,GSM4731956,"stage 35\, whole embryo",SRP278069
SRR12475447,RNA-Seq,Fundulus_heteroclitus-3.0.2,194,2656616451,PRJNA658029,SAMN15856659,1160819562,GEO,public,"bam,sra,run.zq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1","embryo\, stage 35\, 10 days post fertilization",SRX8969417,F1,GSM4731957,Illumina HiSeq 1000,,PAIRED,cDNA,TRANSCRIPTOMIC,Fundulus heteroclitus,0,ILLUMINA,Elizabeth River,2020-08-20T00:00:00Z,2020-08-19T11:04:00Z,1,GSM4731957,"stage 35\, whole embryo",SRP278069
SRR12475448,RNA-Seq,Fundulus_heteroclitus-3.0.2,194,3616296559,PRJNA658029,SAMN15856658,1479725091,GEO,public,"run.zq,sra,bam","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1","embryo\, stage 35\, 10 days post fertilization",SRX8969418,F1,GSM4731958,Illumina HiSeq 1000,,PAIRED,cDNA,TRANSCRIPTOMIC,Fundulus heteroclitus,0,ILLUMINA,Elizabeth River,2020-08-20T00:00:00Z,2020-08-19T11:14:00Z,1,GSM4731958,"stage 35\, whole embryo",SRP278069
SRR12475449,RNA-Seq,Fundulus_heteroclitus-3.0.2,195,2867924570,PRJNA658029,SAMN15856656,1221509228,GEO,public,"run.zq,sra,bam","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1","embryo\, stage 35\, 10 days post fertilization",SRX8969419,F1,GSM4731959,Illumina HiSeq 1000,,PAIRED,cDNA,TRANSCRIPTOMIC,Fundulus heteroclitus,0,ILLUMINA,Elizabeth River,2020-08-20T00:00:00Z,2020-08-19T11:10:00Z,1,GSM4731959,"stage 35\, whole embryo",SRP278069
